"","name","med_caring","med_enjoying","med_learning","med_living","med_supplying","med_div_score","med_prox_score","med_total_score","med_func_comp","med_log_func_comp"
"1","Barking and Dagenham",1,5,1,2,4,0.8,0.6,1.2,2.8,1.02961941718116
"2","Barnet",2,5,1,3,5,0.8,0.6,1.2,3.2,1.16315080980568
"3","Bexley",1,3,1,2,2,0.8,0.4,1.2,2,0.693147180559945
"4","Brent",2,3,1,3,4,0.8,0.6,1.4,2.4,0.8754687373539
"5","Bromley",1,4,1,2,2,0.8,0,1,1.8,0.587786664902119
"6","Camden",2,11,2,3,6,1,0.6,1.4,5.4,1.68639895357023
"7","City of London",217,1714,124,162,525,1,0.4,1.4,548.4,6.30700494768816
"8","Croydon",1,4,0,3,2,0.8,0.4,1.2,2.4,0.8754687373539
"9","Ealing",2,4,1,3,5,0.8,0.6,1.4,2.8,1.02961941718116
"10","Enfield",1,3,1,2,2,0.8,0.4,1.2,1.6,0.470003629245736
"11","Greenwich",1,5,1,3,3,0.8,0.6,1.4,2.6,0.955511445027436
"12","Hackney",1,5,1,3,2,0.8,0.8,1.6,3.6,1.28093384546206
"13","Hammersmith and Fulham",1,5,2,2,3,0.6,0.8,1.4,2.4,0.8754687373539
"14","Haringey",2,6,2,3,5,0.8,0.6,1.4,3.2,1.16315080980568
"15","Harrow",2,4,1,2,4,0.8,0.6,1.4,3,1.09861228866811
"16","Havering",1,4,0,2,4,0.8,0,1,2.4,0.8754687373539
"17","Hillingdon",1,4,1,3,3,0.8,0.2,1,2.2,0.78845736036427
"18","Hounslow",1,3,0,2,3,0.8,0.6,1.4,1.8,0.587786664902119
"19","Islington",2,5,1,2,3,0.8,0.6,1.4,2.2,0.78845736036427
"20","Kensington and Chelsea",5,12,6,5,10,1,0.8,1.6,6.4,1.85629799036563
"21","Kingston upon Thames",2,3,1,2,3,0.8,0.6,1.4,2,0.693147180559945
"22","Lambeth",2,6,2,3,3,0.8,0.8,1.6,2.8,1.02961941718116
"23","Lewisham",1,4,1,4,3,0.8,0.8,1.6,2.2,0.78845736036427
"24","Merton",2,5,1,2,3,0.8,0.6,1.4,2.4,0.8754687373539
"25","Newham",1,3,1,2,3,0.8,0.6,1.4,1.8,0.587786664902119
"26","Redbridge",1,3,1,3,4,0.8,0.6,1.2,1.8,0.587786664902119
"27","Richmond upon Thames",1,4,1,2,3,0.8,0.4,1.2,2.6,0.955511445027436
"28","Southwark",1,5,1,3,1,0.8,0.8,1.4,2.4,0.8754687373539
"29","Sutton",2,5,1,3,3,0.8,0.6,1.4,2.6,0.955511445027436
"30","Tower Hamlets",1,6,2,3,3,1,0.8,1.6,3.2,1.16315080980568
"31","Waltham Forest",1,4,2,2,4,0.8,0.6,1.4,2.2,0.78845736036427
"32","Wandsworth",1,3,1,3,3,0.8,0.6,1.4,1.8,0.587786664902119
"33","Westminster",2,11,2,5,10,1,0.6,1.4,5.2,1.64865862558738
