name,five_min_area_1,count_5m_1,ten_min_area_2,count_10m_2,fifteen_min_area_3,count_15m_3,twenty_min_area_4,count_20m_4,twenty_five_min_area_5,count_25m_5,twenty_five_plus_area_6,count_25_plus_6,os_area,borough_area,med_caring,med_enjoying,med_learning,med_living,med_supplying,med_div_score,med_prox_score,med_total_score,med_func_comp,med_log_func_comp,population_per_square_kilometre,population_per_hectare,hectares,population
Barking and Dagenham,3919985.90048654,"392",8910002.05945534,"891",7770005.76043536,"777",4540002.47966308,"454",2210006.10023663,"221",8810000.33975083,"881",12719993.98397,37799324.655,1,5,1,2,4,0.8,0.6,1.2,2.8,1.02961941718116,130477.482333,1304.77482333,3777.9,"224403"
Barnet,7820012.84006673,"782",18789986.970122,"1879",16790020.089915,"1679",10710010.2400467,"1071",6732175.82960911,"673",25873381.0940504,"2586",32665095.0673,86748312.36,2,5,1,3,5,0.8,0.6,1.2,3.2,1.16315080980568,122577.424329,1225.77424329,8673.7,"415043"
Bexley,5531626.2901517,"553",12238390.6576504,"1224",11925045.1154875,"1192",8147147.47180598,"814",5363581.83605585,"535",17320188.94708,"1732",24997725.29429,64286458.08,1,3,1,2,2,0.8,0.4,1.2,2,0.693147180559945,99311.580669,993.11580669,6426.2,"258606"
Brent,6220017.07958264,"622",13429976.6602215,"1343",10469999.9901193,"1047",6219980.85054709,"622",2889997.90974554,"289",4040009.88979754,"404",9621685.53396,43232642.915,2,3,1,3,4,0.8,0.6,1.4,2.4,0.8754687373539,190907.194988,1909.07194988,4323.5,"348781"
Bromley,7840019.19999187,"784",17819989.260297,"1782",17404794.535471,"1740",14189935.5529048,"1418",9730003.7900015,"973",83113724.9083488,"8311",86245302.96129,150134857.875,1,4,1,2,2,0.8,0,1,1.8,0.587786664902119,77760.4345653,777.604345653,15014.5,"342548"
Camden,2569993.37001267,"257",5630002.38975778,"563",5249996.12027285,"525",3470006.51992153,"347",1940003.68016248,"194",2890001.38989198,"289",5351163.963985,21789295.86,2,11,2,3,6,1,0.6,1.4,5.4,1.68639895357023,258611.334046,2586.11334046,2179.7,"261083"
City of London,140002.27000489,"14",460003.13997259,"46",629989.76003617,"63",560003.5900656,"56",610002.55990755,"61",519999.15990759,"52",586698,3149383,217,1714,124,162,525,1,0.4,1.4,548.4,6.30700494768816,,,,
Croydon,8500682.09111279,"850",18778612.330158,"1878",14888478.2031461,"1488",10085861.8599702,"1008",6618545.39403069,"662",27661202.1846208,"2766",27893463.2375,86494436.325,1,4,0,3,2,0.8,0.4,1.2,2.4,0.8754687373539,149168.924934,1491.68924934,8652,"406398"
Ealing,7780004.63989592,"778",18070010.2698903,"1807",12700016.9907373,"1270",7709988.55923538,"771",3259979.0701843,"326",6030011.03035141,"603",17501768.0549,55544352.1,2,4,1,3,5,0.8,0.6,1.4,2.8,1.02961941718116,171908.021791,1719.08021791,5552.8,"377917"
Enfield,8293499.65759817,"830",17423019.8759302,"1742",13414154.0001219,"1340",8627954.593488,"863",4222230.7982073,"422",30229438.3977489,"3020",39861193.1169,82200191.335,1,3,1,2,2,0.8,0.4,1.2,1.6,0.470003629245736,123457.6325507,1234.576325507,8220.1,"349992"
Greenwich,6360005.55025596,"636",13520036.8396802,"1352",10479984.2603602,"1048",5849976.60985093,"585",3729987.44997211,"373",7510009.63995461,"751",19816164.0916,50441943.36,1,5,1,3,3,0.8,0.6,1.4,2.6,0.955511445027436,107308.644285,1073.08644285,5037.9,"297039"
Hackney,3980006.32002747,"398",7369999.84976608,"737",4909994.57008979,"491",1750008.16003774,"175",539998.98005746,"54",519996.64997098,"52",3724831.270672,16409357.735,1,5,1,3,2,0.8,0.8,1.6,3.6,1.28093384546206,313458.489736,3134.58489736,1906.4,"294310"
Hammersmith and Fulham,3240000.53993152,"324",5339993.57016711,"534",3810006.37001149,"381",1219998.99993032,"122",460002.83997505,"46",2369996.53992286,"237",3624049.509982,17154068.4,1,5,2,2,3,0.6,0.8,1.4,2.4,0.8754687373539,226885.24149,2268.8524149,1715.8,"201405"
Haringey,3700002.23977606,"370",8749994.90990392,"875",7459991.21022542,"746",3880010.2101048,"388",1959981.78990198,"196",3769993.55999959,"377",8222227.54078,29598383.315,2,6,2,3,5,0.8,0.6,1.4,3.2,1.16315080980568,203623.359938,2036.23359938,2958.6,"293505"
Harrow,4930004.25000455,"493",11509999.1596696,"1151",9839993.6197641,"984",7379992.46055885,"738",4270009.2501842,"427",12569530.7108962,"1255",16197420.19536,50463306.245,2,4,1,2,4,0.8,0.6,1.4,3,1.09861228866811,136674.448605,1366.74448605,5047,"265450"
Havering,5610015.97002082,"561",13849971.8603317,"1385",15282323.6146736,"1529",10480000.1898708,"1048",5450004.45972448,"545",61662227.8896888,"6163",67575440.302,114457266.675,1,4,0,2,4,0.8,0,1,2.4,0.8754687373539,63716.3696785,637.163696785,11446.8,"271366"
Hillingdon,7261236.99315925,"726",17501201.1261612,"1751",18004923.649832,"1799",12021265.987156,"1202",8536112.12967611,"853",52370447.5300198,"5238",52107305.9284,115700535.345,1,4,1,3,3,0.8,0.2,1,2.2,0.78845736036427,90336.4527343,903.364527343,11569.8,"322493"
Hounslow,7504333.78940799,"751",14117088.1050831,"1412",11698153.5526714,"1169",6675176.71869936,"667",3000793.47260442,"300",12862852.4578725,"1285",21221416.8958,56585441.325,1,3,0,2,3,0.8,0.6,1.4,1.8,0.587786664902119,116918.489191,1169.18489191,5659.4,"289358"
Islington,2130005.53986412,"213",4439981.59004103,"444",3680003.93021698,"368",1820009.01996496,"182",800001.39997829,"80",1960002.89996852,"196",2034880.09184,14856654.245,2,5,1,2,3,0.8,0.6,1.4,2.2,0.78845736036427,265821.98702,2658.2198702,1486.1,"245838"
Kensington and Chelsea,1979988.82002396,"198",4710005.0698715,"471",3120018.97010228,"312",1359990.79991511,"136",250000.65011886,"25",719995.56997082,"72",4416595.8808,17878858.17,5,12,6,5,10,1,0.8,1.6,6.4,1.85629799036563,253555.880262,2535.55880262,1239,"162446"
Kingston upon Thames,4637328.3072089,"464",9735471.65780346,"973",7189263.0572039,"720",4433539.41890822,"440",2914201.86257307,"291",8386416.84528338,"839",13757729.07308,37261177.97,2,3,1,2,3,0.8,0.6,1.4,2,0.693147180559945,100845.684441,1008.45684441,3724.6,"186434"
Lambeth,5009999.56988196,"501",10789985.5404839,"1079",7240003.23984993,"724",2830008.2098635,"283",609998.6698473,"61",329999.25988922,"33",5633785.09513,27249338.75,2,6,2,3,3,0.8,0.8,1.6,2.8,1.02961941718116,279319.164698,2793.19164698,2725.4,"343981"
Lewisham,5829992.26011162,"583",13109995.8798761,"1311",8900010.04990984,"890",3790004.10016956,"379",1439998.82990147,"144",2019998.8899296,"202",7818354.55501,35317029.645,1,4,1,4,3,0.8,0.8,1.6,2.2,0.78845736036427,170658.041365,1706.58041365,3532.5,"323420"
Merton,5249991.03018853,"525",11190002.7902484,"1119",8450001.32944863,"845",4390011.4703371,"439",2809998.12987165,"281",5480008.58993871,"548",13503593.01148,37624744.43,2,5,1,2,3,0.8,0.6,1.4,2.4,0.8754687373539,139880.536284,1398.80536284,3760.8,"216661"
Newham,5699989.84945201,"570",11639995.9901145,"1164",7819985.78059695,"782",3290017.81002248,"329",1829999.0098365,"183",5959998.26008352,"596",11530803.04173,38578079.325,1,3,1,2,3,0.8,0.6,1.4,1.8,0.587786664902119,251608.766649,2516.08766649,3867.6,"370006"
Redbridge,6031606.33290889,"603",13430227.3682708,"1343",11390407.8623222,"1140",5968047.66702251,"596",3382721.58026547,"338",16222974.1998845,"1624",22750573.15675,56442213.675,1,3,1,3,4,0.8,0.6,1.2,1.8,0.587786664902119,157845.952416,1578.45952416,5643.6,"320015"
Richmond upon Thames,5864206.74110944,"586",12349722.3373745,"1234",10202465.105441,"1020",5534795.857439,"553",2821132.28447065,"282",21085366.161231,"2107",33500925.2652,58761183.61,1,4,1,2,3,0.8,0.4,1.2,2.6,0.955511445027436,80104.955652,801.04955652,5876.9,"205051"
Southwark,5759987.62005043,"576",10859991.980154,"1086",6030030.58991996,"603",2459990.12020865,"246",1280002.51973513,"128",2479997.01008824,"248",6775290.619694,29913441.46,1,5,1,3,1,0.8,0.8,1.4,2.4,0.8754687373539,271923.909668,2719.23909668,2989.7,"334824"
Sutton,5084205.10008417,"509",10751981.6452123,"1076",8522021.1440358,"852",5089917.0848667,"509",3401640.82361742,"339",10994472.3220772,"1103",14849499.2804,43846974.795,2,5,1,3,3,0.8,0.6,1.4,2.6,0.955511445027436,109573.220714,1095.73220714,4385.2,"215227"
Tower Hamlets,4750000.79996896,"475",7030004.15994028,"703",4649979.98016767,"465",1800011.68999177,"180",499999.18998465,"50",1039996.28999067,"104",5513219.88554,18719582.695,1,6,2,3,3,1,0.8,1.6,3.2,1.16315080980568,279849.166,2798.49166,2156.6,"334834"
Waltham Forest,5130005.02985881,"513",11209982.4302031,"1121",8223292.74877326,"823",4943267.83119403,"494",2542176.45791928,"254",6736970.48905761,"670",13506481.255,38807962.73,1,4,2,2,4,0.8,0.6,1.4,2.2,0.78845736036427,183417.940063,1834.17940063,3881.6,"295312"
Wandsworth,4760003.47991126,"476",11160007.5500449,"1116",8689945.4503455,"869",4830024.78973478,"483",1730011.50007724,"173",3200009.07996096,"320",11133416.7212,35220156.11,1,3,1,3,3,0.8,0.6,1.4,1.8,0.587786664902119,218964.169069,2189.64169069,3522,"343149"
Westminster,2520008.71977692,"252",5820007.44015909,"582",4329985.00000447,"433",2880009.350037,"288",1669993.65999319,"167",4240001.20015638,"424",6304255.71148,22030055.285,2,11,2,5,10,1,0.6,1.4,5.2,1.64865862558738,353236.070861,3532.36070861,2203,"264876"
